EStudent,section,ECourse,Obtained,Total,Type
1202,CS1B21,SS1002,18,20,ASSIGNMENT
1202,CS1B21,SS1002,20,20,ASSIGNMENT
1202,CS1B21,SS1002,16,20,ASSIGNMENT
1202,CS1B21,SS1002,19,20,ASSIGNMENT
1202,CS1B21,SS1002,44,50,MID
1202,CS1B21,SS1002,84,100,PROJECT
1202,CS1B21,SS1002,143,150,FINAL
1202,CS1B21,SS1004,14,15,QUIZ
1202,CS1B21,SS1004,13,15,QUIZ
1202,CS1B21,SS1004,13,15,QUIZ
1202,CS1B21,SS1004,28,30,ASSIGNMENT
1202,CS1B21,SS1004,30,30,ASSIGNMENT
1202,CS1B21,SS1004,30,30,ASSIGNMENT
1202,CS1B21,SS1004,69,80,MID
1202,CS1B21,SS1004,84,100,PROJECT
1202,CS1B21,SS1004,143,170,FINAL
1202,CS1B21,CS2001,9,10,QUIZ
1202,CS1B21,CS2001,8,10,QUIZ
1202,CS1B21,CS2001,7,10,QUIZ
1202,CS1B21,CS2001,15,20,QUIZ
1202,CS1B21,CS2001,19,20,ASSIGNMENT
1202,CS1B21,CS2001,18,20,ASSIGNMENT
1202,CS1B21,CS2001,17,20,ASSIGNMENT
1202,CS1B21,CS2001,15,20,ASSIGNMENT
1202,CS1B21,CS2001,45,50,MID
1202,CS1B21,CS2001,79,100,PROJECT
1202,CS1B21,CS2001,145,150,FINAL
1202,CS1B21,CS2002,9,10,QUIZ
1202,CS1B21,CS2002,8,10,QUIZ
1202,CS1B21,CS2002,7,10,QUIZ
1202,CS1B21,CS2002,15,20,QUIZ
1202,CS1B21,CS2002,19,20,ASSIGNMENT
1202,CS1B21,CS2002,18,20,ASSIGNMENT
1202,CS1B21,CS2002,17,20,ASSIGNMENT
1202,CS1B21,CS2002,15,20,ASSIGNMENT
1202,CS1B21,CS2002,45,50,MID
1202,CS1B21,CS2002,79,100,PROJECT
1202,CS1B21,CS2002,145,150,FINAL
1202,CS1B21,MT2001,14,15,QUIZ
1202,CS1B21,MT2001,13,15,QUIZ
1202,CS1B21,MT2001,12,15,QUIZ
1202,CS1B21,MT2001,20,20,ASSIGNMENT
1202,CS1B21,MT2001,17,20,ASSIGNMENT
1202,CS1B21,MT2001,15,20,ASSIGNMENT
1202,CS1B21,MT2001,45,50,MID
1202,CS1B21,MT2001,79,100,PROJECT
1202,CS1B21,MT2001,145,150,FINAL
1202,CS1B21,MT2002,9,10,QUIZ
1202,CS1B21,MT2002,8,10,QUIZ
1202,CS1B21,MT2002,7,10,QUIZ
1202,CS1B21,MT2002,15,20,QUIZ
1202,CS1B21,MT2002,19,20,ASSIGNMENT
1202,CS1B21,MT2002,18,20,ASSIGNMENT
1202,CS1B21,MT2002,17,20,ASSIGNMENT
1202,CS1B21,MT2002,15,20,ASSIGNMENT
1202,CS1B21,MT2002,45,50,MID
1202,CS1B21,MT2002,79,100,PROJECT
1202,CS1B21,MT2002,145,150,FINAL
1202,CS1B21,EE1001,40,50,MID
1202,CS1B21,EE1001,18,20,QUIZ
1202,CS1B21,EE1001,36,40,ASSIGNMENT
1202,CS1B21,EE1001,88,100,PROJECT
1202,CS1B21,EE1001,138,150,FINAL
1202,CS1B21,EE1002,5,10,QUIZ
1202,CS1B21,EE1002,9,10,QUIZ
1202,CS1B21,EE1002,8,10,QUIZ
1202,CS1B21,EE1002,18,20,ASSIGNMENT
1202,CS1B21,EE1002,17,20,ASSIGNMENT
1202,CS1B21,EE1002,20,20,ASSIGNMENT
1202,CS1B21,EE1002,44,50,MID
1202,CS1B21,EE1002,78,100,PROJECT
1202,CS1B21,EE1002,143,150,FINAL
1202,CS1B21,PH1001,9,10,QUIZ
1202,CS1B21,PH1001,8,10,QUIZ
1202,CS1B21,PH1001,7,10,QUIZ
1202,CS1B21,PH1001,15,20,QUIZ
1202,CS1B21,PH1001,19,20,ASSIGNMENT
1202,CS1B21,PH1001,18,20,ASSIGNMENT
1202,CS1B21,PH1001,17,20,ASSIGNMENT
1202,CS1B21,PH1001,15,20,ASSIGNMENT
1202,CS1B21,PH1001,45,50,MID
1202,CS1B21,PH1001,79,100,PROJECT
1202,CS1B21,PH1001,145,150,FINAL
1202,CS1B21,PH1002,9,10,QUIZ
1202,CS1B21,PH1002,8,10,QUIZ
1202,CS1B21,PH1002,7,10,QUIZ
1202,CS1B21,PH1002,15,20,QUIZ
1202,CS1B21,PH1002,19,20,ASSIGNMENT
1202,CS1B21,PH1002,18,20,ASSIGNMENT
1202,CS1B21,PH1002,17,20,ASSIGNMENT
1202,CS1B21,PH1002,15,20,ASSIGNMENT
1202,CS1B21,PH1002,45,50,MID
1202,CS1B21,PH1002,79,100,PROJECT
1202,CS1B21,PH1002,145,150,FINAL
1202,CS1B21,SS2001,14,15,QUIZ
1202,CS1B21,SS2001,13,15,QUIZ
1202,CS1B21,SS2001,12,15,QUIZ
1202,CS1B21,SS2001,20,20,ASSIGNMENT
1202,CS1B21,SS2001,17,20,ASSIGNMENT
1202,CS1B21,SS2001,15,20,ASSIGNMENT
1202,CS1B21,SS2001,45,50,MID
1202,CS1B21,SS2001,79,100,PROJECT
1202,CS1B21,SS2001,145,150,FINAL
1202,CS1B21,SS2002,9,10,QUIZ
1202,CS1B21,SS2002,8,10,QUIZ
1202,CS1B21,SS2002,7,10,QUIZ
1202,CS1B21,SS2002,15,20,QUIZ
1202,CS1B21,SS2002,19,20,ASSIGNMENT
1202,CS1B21,SS2002,18,20,ASSIGNMENT
1202,CS1B21,SS2002,17,20,ASSIGNMENT
1202,CS1B21,SS2002,15,20,ASSIGNMENT
1202,CS1B21,SS2002,45,50,MID
1202,CS1B21,SS2002,79,100,PROJECT
1202,CS1B21,SS2002,145,150,FINAL
1202,CS1B21,CL2001,40,50,MID
1202,CS1B21,CL2001,18,20,QUIZ
1202,CS1B21,CL2001,36,40,ASSIGNMENT
1202,CS1B21,CL2001,88,100,PROJECT
1202,CS1B21,CL2001,138,150,FINAL
1202,CS1B21,CL2002,5,10,QUIZ
1202,CS1B21,CL2002,9,10,QUIZ
1202,CS1B21,CL2002,8,10,QUIZ
1202,CS1B21,CL2002,18,20,ASSIGNMENT
1202,CS1B21,CL2002,17,20,ASSIGNMENT
1202,CS1B21,CL2002,20,20,ASSIGNMENT
1202,CS1B21,CL2002,44,50,MID
1202,CS1B21,CL2002,78,100,PROJECT
1202,CS1B21,CL2002,143,150,FINAL
